"ID","isActive","gameID","state","shortDescription","dateCreated","dateModified","createdBy","modifiedBy"
"1","1","14","MI","Lotto 47","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"2","1","15","MI","Fantasy 5","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"3","1","18","MT","Big Sky Bonus","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"4","1","19","MD","Match 5","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"5","1","24","MD","Multi Match","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"6","1","25","MT","Montana Cash","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"7","1","26","WY","Cowboy Draw","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"8","1","27","VA","Bank a Million","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"9","1","28","VA","Cash 5","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"10","1","35","AZ","The Pick","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"11","1","36","AZ","Pick 3","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"12","1","38","AZ","Triple Twst","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"13","1","39","AR","Natural State","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"14","1","40","AR","Cash 3 Mid-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"15","1","41","AR","Cash 3 Evening","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"16","1","42","AR","Cash 4 Mid-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"17","1","43","AR","Cash 4 Evening","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"18","1","44","CA","SuperLotto","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"19","1","46","CA","Pick 4","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"20","1","49","CO","Lotto","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"21","1","55","CT","Play 3 Mid-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"22","1","56","CT","Play 3 Evening","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"23","1","57","CT","Play 4 Mid-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"24","1","58","CT","Play 4 Evening","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"25","1","59","CT","Lucky Links Mid-Day","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
