"ID","gameID","isActive","drawingDay","drawingTime","shortDescription","dateCreated","dateModified","createdBy","modifiedBy"
"6","49","1","3","22:38:00.0000000","","","2024-03-06 10:23:51.233000000","",""
"7","49","1","6","22:38:00.0000000","","","2024-03-06 10:23:51.233000000","",""
"8","28","1","1","22:29:00.0000000","","","2024-03-06 10:23:12.880000000","",""
"9","28","1","2","22:29:00.0000000","","","2024-03-06 10:23:12.880000000","",""
"10","28","1","3","22:29:00.0000000","","","2024-03-06 10:23:12.880000000","",""
"11","28","1","4","22:29:00.0000000","","","2024-03-06 10:23:12.880000000","",""
"12","28","1","5","22:29:00.0000000","","","2024-03-06 10:23:12.880000000","",""
"13","28","1","6","22:29:00.0000000","","","2024-03-06 10:23:12.880000000","",""
"14","28","1","7","22:29:00.0000000","","","2024-03-06 10:23:12.880000000","",""
"15","55","1","1","13:57:00.0000000","","","","",""
"16","55","1","2","13:57:00.0000000","","","","",""
"17","55","1","3","13:57:00.0000000","","","","",""
"18","55","1","4","13:57:00.0000000","","","","",""
"19","55","1","5","13:57:00.0000000","","","","",""
"20","55","1","6","13:57:00.0000000","","","","",""
"21","55","1","7","13:57:00.0000000","","","","",""
"22","56","1","1","22:29:00.0000000","","","","",""
"23","56","1","2","22:29:00.0000000","","","","",""
"24","56","1","3","22:29:00.0000000","","","","",""
"25","56","1","4","22:29:00.0000000","","","","",""
"26","56","1","5","22:29:00.0000000","","","","",""
"27","56","1","6","22:29:00.0000000","","","","",""
"28","56","1","7","22:29:00.0000000","","","","",""
"29","57","1","1","13:45:00.0000000","","","","",""
"30","57","1","2","13:45:00.0000000","","","","",""
"31","57","1","3","13:45:00.0000000","","","","",""
"32","57","1","4","13:45:00.0000000","","","","",""
"33","57","1","5","13:45:00.0000000","","","","",""
"34","57","1","6","13:45:00.0000000","","","","",""
"35","57","1","7","13:45:00.0000000","","","","",""
"36","58","1","1","22:17:00.0000000","","","","",""
"37","58","1","2","22:17:00.0000000","","","","",""
"38","58","1","3","22:17:00.0000000","","","","",""
"39","58","1","4","22:17:00.0000000","","","","",""
"40","58","1","5","22:17:00.0000000","","","","",""
"41","58","1","6","22:17:00.0000000","","","","",""
"42","58","1","7","22:17:00.0000000","","","","",""
"43","61","1","1","19:57:00.0000000","","","","",""
"44","61","1","4","19:57:00.0000000","","","","",""
"45","61","1","6","19:57:00.0000000","","","","",""
"46","10","1","1","13:58:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"47","10","1","2","13:58:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"48","10","1","3","13:58:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"49","10","1","4","13:58:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"50","10","1","5","13:58:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"51","10","1","6","13:58:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"52","10","1","7","13:58:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"53","11","1","7","19:57:00.0000000","","","2024-03-06 09:56:53.117000000","",""
"54","12","1","1","13:58:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"55","12","1","2","13:58:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"56","12","1","3","13:58:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"57","12","1","4","13:58:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"58","12","1","5","13:58:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"59","12","1","6","13:58:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"60","12","1","7","13:58:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"61","13","1","7","19:57:00.0000000","","","2024-03-06 10:25:46.297000000","",""
"62","66","1","1","13:50:00.0000000","","","","",""
"63","66","1","2","13:50:00.0000000","","","","",""
"64","66","1","3","13:50:00.0000000","","","","",""
"65","66","1","4","13:50:00.0000000","","","","",""
"66","66","1","5","13:50:00.0000000","","","","",""
"67","66","1","6","13:50:00.0000000","","","","",""
"68","66","1","7","13:50:00.0000000","","","","",""
"69","67","1","1","19:50:00.0000000","","","","",""
"70","67","1","2","19:50:00.0000000","","","","",""
"71","67","1","3","19:50:00.0000000","","","","",""
"72","67","1","4","19:50:00.0000000","","","","",""
"73","67","1","5","19:50:00.0000000","","","","",""
"74","67","1","6","19:50:00.0000000","","","","",""
"75","67","1","7","19:50:00.0000000","","","","",""
"76","10","1","1","13:50:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"77","10","1","2","13:50:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"78","10","1","3","13:50:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"79","10","1","4","13:50:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"80","10","1","5","13:50:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"81","10","1","6","13:50:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"82","10","1","7","13:50:00.0000000","","","2024-03-06 10:02:41.130000000","",""
"83","11","1","1","19:50:00.0000000","","","2024-03-06 09:56:53.117000000","",""
"84","11","1","2","19:50:00.0000000","","","2024-03-06 09:56:53.117000000","",""
"85","11","1","3","19:50:00.0000000","","","2024-03-06 09:56:53.117000000","",""
"86","11","1","4","19:50:00.0000000","","","2024-03-06 09:56:53.117000000","",""
"87","11","1","5","19:50:00.0000000","","","2024-03-06 09:56:53.117000000","",""
"88","11","1","6","19:50:00.0000000","","","2024-03-06 09:56:53.117000000","",""
"89","11","1","7","19:50:00.0000000","","","2024-03-06 09:56:53.117000000","",""
"90","12","1","1","13:50:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"91","12","1","2","13:50:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"92","12","1","3","13:50:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"93","12","1","4","13:50:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"94","12","1","5","13:50:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"95","12","1","6","13:50:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"96","12","1","7","13:50:00.0000000","","","2024-03-06 10:26:13.770000000","",""
"97","13","1","1","19:50:00.0000000","","","2024-03-06 10:25:46.297000000","",""
"98","13","1","2","19:50:00.0000000","","","2024-03-06 10:25:46.297000000","",""
"99","13","1","3","19:50:00.0000000","","","2024-03-06 10:25:46.297000000","",""
"100","13","1","4","19:50:00.0000000","","","2024-03-06 10:25:46.297000000","",""
"101","13","1","5","19:50:00.0000000","","","2024-03-06 10:25:46.297000000","",""
"102","13","1","6","19:50:00.0000000","","","2024-03-06 10:25:46.297000000","",""
"103","13","1","7","19:50:00.0000000","","","2024-03-06 10:25:46.297000000","",""
"104","72","1","1","13:50:00.0000000","","","","",""
"105","72","1","2","13:50:00.0000000","","","","",""
"106","72","1","3","13:50:00.0000000","","","","",""
"107","72","1","4","13:50:00.0000000","","","","",""
"108","72","1","5","13:50:00.0000000","","","","",""
"109","72","1","6","13:50:00.0000000","","","","",""
"110","72","1","7","13:50:00.0000000","","","","",""
"111","73","1","1","19:50:00.0000000","","","","",""
"112","73","1","2","19:50:00.0000000","","","","",""
"113","73","1","3","19:50:00.0000000","","","","",""
"114","73","1","4","19:50:00.0000000","","","","",""
"115","73","1","5","19:50:00.0000000","","","","",""
"116","73","1","6","19:50:00.0000000","","","","",""
"117","73","1","7","19:50:00.0000000","","","","",""
"118","49","1","4","23:15:00.0000000","","","2024-03-06 10:23:51.233000000","",""
"119","49","1","7","23:15:00.0000000","","","2024-03-06 10:23:51.233000000","",""
"120","75","1","4","23:15:00.0000000","","","","",""
"121","75","1","7","23:15:00.0000000","","","","",""
"122","15","1","1","23:15:00.0000000","","","2024-03-06 10:23:37.997000000","",""
"123","15","1","2","23:15:00.0000000","","","2024-03-06 10:23:37.997000000","",""
"124","15","1","3","23:15:00.0000000","","","2024-03-06 10:23:37.997000000","",""
"125","15","1","4","23:15:00.0000000","","","2024-03-06 10:23:37.997000000","",""
"126","15","1","5","23:15:00.0000000","","","2024-03-06 10:23:37.997000000","",""
"127","15","1","6","23:15:00.0000000","","","2024-03-06 10:23:37.997000000","",""
"128","15","1","7","23:15:00.0000000","","","2024-03-06 10:23:37.997000000","",""
"129","77","1","3","23:15:00.0000000","","","","",""
"130","77","1","6","23:15:00.0000000","","","","",""
"131","66","1","1","13:30:00.0000000","","","2024-03-06 10:25:01.890000000","",""
"132","66","1","2","13:30:00.0000000","","","2024-03-06 10:25:01.890000000","",""
"133","66","1","3","13:30:00.0000000","","","2024-03-06 10:25:01.890000000","",""
"134","66","1","4","13:30:00.0000000","","","2024-03-06 10:25:01.890000000","",""
"135","66","1","5","13:30:00.0000000","","","2024-03-06 10:25:01.890000000","",""
"136","66","1","6","13:30:00.0000000","","","2024-03-06 10:25:01.890000000","",""
"137","66","1","7","13:30:00.0000000","","","2024-03-06 10:25:01.890000000","",""
"138","67","1","1","21:45:00.0000000","","","2024-03-06 10:24:45.570000000","",""
