month,day,year,position01,position02,position03,position04,position05,position06,position07
04,6,2024,1,17,21,23,25,28,10
04,3,2024,2,6,12,21,26,28,39
02,30,2024,2,5,20,26,30,39,24
02,27,2024,10,12,24,26,34,38,21
02,23,2024,29,30,34,36,39,40,4
02,20,2024,4,8,29,32,34,37,1
02,16,2024,2,6,9,21,24,28,23
02,13,2024,7,20,22,26,35,39,38
02,9,2024,3,4,17,18,22,23,20
02,6,2024,3,16,23,29,32,34,30
02,2,2024,4,8,12,13,22,39,17
02,28,2024,1,9,16,18,20,23,29
02,24,2024,5,20,30,36,37,38,16
02,21,2024,11,13,17,23,37,40,14
02,17,2024,7,13,19,28,33,36,23
02,14,2024,15,19,24,30,34,40,23
02,10,2024,1,10,23,26,28,34,9
02,7,2024,16,22,29,31,36,40,38
02,3,2024,4,9,10,12,19,24,6
01,31,2024,9,11,17,21,28,40,37
01,27,2024,11,12,14,17,24,40,27
01,24,2024,3,8,12,19,23,33,17
01,20,2024,12,23,26,31,32,38,4
01,17,2024,1,11,13,15,36,39,17
01,13,2024,3,6,8,11,35,38,7
01,10,2024,6,9,10,21,25,29,35
01,6,2024,4,13,16,27,37,40,33
01,3,2024,13,19,21,28,29,36,40
12,30,2023,14,18,20,21,25,35,9
12,27,2023,4,10,20,21,29,34,26
12,23,2023,1,8,12,17,21,36,34
12,20,2023,9,12,13,20,25,40,19
12,16,2023,2,10,16,19,32,35,12
12,13,2023,9,10,15,24,26,38,31
12,9,2023,10,11,13,14,23,30,27
12,6,2023,1,19,26,27,28,32,22
12,2,2023,7,10,14,15,19,36,35
11,29,2023,7,8,9,14,15,24,25
11,25,2023,1,4,13,14,18,27,25
11,22,2023,11,17,18,23,35,37,6
11,18,2023,7,13,21,29,33,34,22
11,15,2023,1,7,14,22,29,30,16
11,11,2023,11,13,18,23,27,31,22
11,8,2023,15,19,26,28,34,38,14
11,4,2023,3,8,10,25,26,30,36
11,1,2023,5,6,17,23,28,36,24
10,28,2023,8,21,25,38,39,40,35
10,25,2023,6,16,18,19,35,36,31
10,21,2023,2,3,13,14,22,39,28
10,18,2023,7,16,19,23,36,40,29
10,14,2023,5,7,11,15,22,34,28
10,11,2023,1,10,16,17,18,23,8
10,7,2023,3,11,22,27,28,37,14
10,4,2023,1,2,18,22,35,40,29
09,30,2023,11,18,25,28,29,39,22
09,27,2023,3,16,17,19,22,23,27
09,23,2023,4,23,28,30,32,37,12
09,20,2023,2,5,31,34,36,38,24
09,16,2023,6,14,23,34,35,36,33
09,13,2023,3,18,31,35,38,40,10
09,9,2023,23,24,28,34,35,39,19
09,6,2023,8,9,12,14,19,27,22
09,2,2023,1,4,6,15,18,25,10
08,30,2023,9,10,14,19,20,34,21
08,26,2023,6,11,12,26,30,36,19
08,23,2023,9,12,13,21,31,34,33
08,19,2023,5,6,8,9,30,36,35
08,16,2023,3,12,15,17,19,26,1
08,12,2023,3,5,17,33,35,39,12
08,9,2023,5,13,19,22,25,28,14
08,5,2023,6,12,26,31,37,39,20
08,2,2023,9,18,25,31,34,40,21
07,29,2023,7,10,17,21,26,38,31
07,26,2023,3,6,22,31,32,35,29
07,22,2023,7,8,23,27,32,40,15
07,19,2023,6,11,18,20,23,36,5
07,15,2023,1,5,19,31,32,36,8
07,12,2023,7,12,14,25,30,40,33
07,8,2023,21,23,28,32,35,40,31
07,5,2023,7,12,18,21,32,34,6
07,1,2023,2,3,5,8,23,30,18
06,28,2023,8,9,13,17,21,38,16
06,24,2023,8,15,16,19,25,37,30
06,21,2023,2,4,6,13,19,27,9
06,17,2023,1,11,12,15,23,34,9
06,14,2023,11,14,16,25,32,40,4
06,10,2023,9,13,14,27,30,36,11
06,7,2023,19,21,22,27,33,40,24
06,3,2023,13,15,31,36,38,39,10
05,31,2023,6,20,29,30,31,36,18
05,27,2023,19,20,21,28,34,39,17
05,24,2023,1,3,11,20,37,38,12
05,20,2023,11,12,17,22,23,27,34
05,17,2023,1,9,13,24,30,33,23
05,13,2023,5,8,12,13,23,38,14
05,10,2023,1,2,15,18,22,26,34
05,6,2023,7,9,14,15,16,38,3
05,3,2023,3,5,17,18,32,37,24
04,29,2023,12,17,21,22,28,35,33
04,26,2023,5,28,29,30,39,40,11
04,22,2023,13,17,25,26,33,39,8
04,19,2023,3,24,28,30,34,40,19
04,15,2023,10,13,15,25,30,34,8
04,12,2023,4,17,19,20,23,36,24
04,8,2023,4,14,15,24,28,35,34
04,5,2023,8,11,14,15,18,33,37
04,1,2023,1,3,10,25,26,30,9
02,29,2023,8,10,17,19,27,30,34
02,25,2023,6,8,18,29,30,36,31
02,22,2023,1,7,14,16,20,37,3
02,18,2023,8,11,20,21,22,31,26
02,15,2023,15,17,20,25,29,36,37
02,11,2023,19,24,32,34,38,40,16
02,8,2023,5,7,13,20,34,40,26
02,4,2023,2,5,18,23,31,39,14
02,1,2023,5,13,15,32,35,39,24
02,25,2023,12,13,22,24,35,38,14
02,22,2023,3,6,7,22,24,29,12
02,18,2023,13,14,18,20,35,39,6
02,15,2023,9,12,14,16,27,37,33
02,11,2023,18,19,20,22,27,38,17
02,8,2023,2,3,17,24,34,40,10
02,4,2023,11,13,18,21,22,25,1
02,1,2023,6,9,20,22,30,38,12
01,28,2023,5,6,14,22,32,40,27
01,25,2023,2,7,12,19,28,29,36
01,21,2023,6,11,16,21,25,38,5
01,18,2023,1,2,21,23,32,33,30
01,14,2023,14,32,35,36,37,39,5
01,11,2023,5,7,9,16,29,36,14
01,7,2023,3,4,7,15,28,38,30
01,4,2023,13,15,16,24,26,35,17
12,31,2022,13,15,23,24,26,27,6
12,28,2022,4,5,20,24,25,32,18
12,24,2022,5,11,13,15,19,25,9
12,21,2022,11,14,22,27,31,40,25
12,17,2022,1,3,6,9,10,26,12
12,14,2022,8,10,14,17,20,32,11
12,10,2022,5,16,18,27,30,31,38
12,7,2022,4,5,14,21,31,37,15
12,3,2022,10,33,35,37,38,39,1
11,30,2022,1,11,16,17,20,28,32
11,26,2022,10,18,25,32,35,38,6
11,23,2022,9,18,22,24,26,33,35
11,19,2022,4,10,24,31,32,33,29
11,16,2022,4,12,14,16,19,30,10
11,12,2022,1,2,7,15,33,40,26
11,9,2022,1,5,22,25,30,31,11
11,5,2022,17,26,31,32,34,37,4
11,2,2022,8,24,26,29,32,39,1
10,29,2022,5,19,23,26,34,39,37
10,26,2022,5,19,21,25,32,37,24
10,22,2022,11,18,25,28,33,37,8
10,19,2022,1,13,19,31,35,39,14
10,15,2022,1,5,17,18,21,25,20
10,12,2022,2,3,9,16,29,34,27
10,8,2022,3,13,17,31,35,40,6
10,5,2022,3,4,5,21,29,33,35
10,1,2022,6,14,21,31,35,39,16
09,28,2022,1,9,10,18,25,39,40
09,24,2022,11,18,27,29,33,37,3
09,21,2022,8,22,26,29,32,35,14
09,17,2022,8,9,12,27,31,34,23
09,14,2022,4,17,25,28,30,32,21
09,10,2022,2,7,8,22,34,36,12
09,7,2022,8,11,18,32,34,36,21
09,3,2022,4,5,10,17,21,23,39
08,31,2022,6,12,14,20,36,37,32
08,27,2022,7,8,10,17,32,39,21
08,24,2022,10,11,20,22,33,40,23
08,20,2022,1,11,16,24,34,36,13
08,17,2022,2,7,13,25,29,33,39
08,13,2022,14,19,26,27,36,37,11
08,10,2022,20,29,30,34,39,40,33
08,6,2022,2,4,16,22,26,40,33
08,3,2022,1,5,7,10,24,32,39
07,30,2022,4,16,23,27,33,35,17
07,27,2022,1,25,28,30,35,37,6
07,23,2022,12,19,25,27,32,35,38
07,20,2022,4,14,20,23,28,31,3
07,16,2022,2,5,8,26,27,30,9
07,13,2022,7,11,26,27,31,39,12
07,9,2022,5,16,19,21,34,36,24
07,6,2022,4,19,27,30,33,34,2
07,2,2022,10,11,20,30,31,39,17
06,29,2022,4,17,22,30,31,40,33
06,25,2022,4,8,9,16,17,28,29
06,22,2022,1,5,9,24,28,37,38
06,18,2022,1,2,7,11,25,28,37
06,15,2022,2,19,26,33,35,36,31
06,11,2022,13,14,15,16,17,18,19
06,8,2022,11,13,25,30,32,37,1
06,4,2022,4,5,6,7,29,30,37
06,1,2022,3,10,13,26,34,36,25
05,28,2022,2,15,16,17,20,25,18
05,25,2022,10,11,17,28,29,32,4
05,21,2022,16,23,27,29,35,40,39
05,18,2022,2,12,19,20,29,34,6
05,14,2022,6,8,16,17,24,35,13
05,11,2022,3,6,10,18,23,30,36
05,7,2022,4,5,14,15,22,29,9
05,4,2022,5,11,12,16,38,39,22
04,30,2022,1,21,24,26,28,32,23
04,27,2022,3,4,9,13,27,31,35
04,23,2022,7,17,21,22,28,33,8
04,20,2022,1,11,12,14,38,40,16
04,16,2022,1,2,10,14,27,31,19
04,13,2022,6,9,11,13,23,31,40
04,9,2022,9,10,12,25,29,30,28
04,6,2022,2,4,21,23,28,32,36
04,2,2022,2,12,14,16,28,39,32
02,30,2022,19,23,25,27,37,39,33
