month,day,year,position01,position02,position03,position04,position05,position06
04,10,2024,10,21,26,32,33,15
04,9,2024,4,25,26,31,33,27
04,8,2024,4,10,13,24,37,36
04,7,2024,5,9,22,25,35,16
04,6,2024,22,24,25,37,39,21
04,5,2024,4,7,9,10,24,11
04,4,2024,1,21,25,27,30,3
04,3,2024,4,17,20,23,30,19
04,2,2024,9,17,22,30,35,24
04,1,2024,21,24,28,29,33,20
02,31,2024,2,4,15,25,29,20
02,30,2024,9,10,11,15,39,5
02,29,2024,16,19,28,33,34,9
02,28,2024,18,28,29,33,34,24
02,27,2024,3,5,17,22,34,1
02,26,2024,11,23,26,38,39,15
02,25,2024,1,2,6,23,26,31
02,24,2024,14,18,24,36,38,31
02,23,2024,12,18,20,21,25,13
02,22,2024,5,11,16,24,37,10
02,21,2024,14,16,19,20,37,24
02,20,2024,3,10,20,28,33,37
02,19,2024,14,20,28,30,39,18
02,18,2024,3,5,11,21,22,27
02,17,2024,16,28,32,35,39,26
02,16,2024,17,27,31,33,39,13
02,15,2024,2,16,17,19,22,18
02,14,2024,16,24,25,31,39,29
02,13,2024,2,5,6,27,30,13
02,12,2024,2,18,29,35,38,16
02,11,2024,6,10,15,22,35,5
02,10,2024,6,9,17,21,29,4
02,9,2024,23,27,28,38,39,36
02,8,2024,5,7,16,19,21,4
02,7,2024,3,5,12,28,32,14
02,6,2024,13,17,19,23,37,34
02,5,2024,5,14,17,24,37,29
02,4,2024,11,15,27,36,39,35
02,3,2024,1,6,9,25,36,4
02,2,2024,3,5,13,19,22,1
02,1,2024,4,8,10,28,35,37
02,29,2024,7,17,20,29,32,18
02,28,2024,9,25,28,31,37,4
02,27,2024,1,2,21,24,25,5
02,26,2024,9,22,27,33,35,8
02,25,2024,14,15,20,26,32,13
02,24,2024,7,12,13,16,29,33
02,23,2024,4,11,25,28,30,35
02,22,2024,12,14,19,20,21,18
02,21,2024,4,20,23,30,33,3
02,20,2024,5,14,24,31,39,38
02,19,2024,12,19,23,28,37,5
02,18,2024,14,15,26,37,38,9
02,17,2024,2,16,30,31,38,3
02,16,2024,7,10,16,19,37,32
02,15,2024,13,14,17,27,35,10
02,14,2024,21,22,23,26,29,28
02,13,2024,8,21,23,32,36,6
02,12,2024,4,17,28,38,39,36
02,11,2024,11,19,21,25,32,16
02,10,2024,11,12,17,27,28,4
02,9,2024,20,26,27,31,37,15
02,8,2024,3,5,7,32,38,8
02,7,2024,1,4,24,25,29,36
02,6,2024,3,19,29,32,37,11
02,5,2024,6,11,24,29,30,7
02,4,2024,11,13,28,33,36,26
02,3,2024,12,15,30,32,36,8
02,2,2024,2,13,16,26,27,32
02,1,2024,14,16,23,32,38,6
01,31,2024,20,22,24,26,38,7
01,30,2024,8,28,32,33,38,26
01,29,2024,1,22,23,25,37,15
01,28,2024,16,18,25,32,37,38
01,27,2024,4,5,11,24,31,3
01,26,2024,9,26,33,35,38,20
01,25,2024,2,5,19,22,36,7
01,24,2024,2,15,18,31,33,11
01,23,2024,13,19,20,30,31,36
01,22,2024,5,9,18,21,34,24
01,21,2024,8,10,12,18,30,26
01,20,2024,4,20,25,31,33,16
01,19,2024,11,14,27,30,35,6
01,18,2024,1,4,9,26,27,7
01,17,2024,1,4,8,22,33,28
01,16,2024,25,29,33,35,37,9
01,15,2024,4,10,14,31,32,8
01,14,2024,1,6,18,31,38,10
01,13,2024,4,27,31,35,36,37
01,12,2024,3,13,18,31,36,15
01,11,2024,3,18,19,21,37,5
01,10,2024,15,29,30,31,37,2
01,9,2024,5,11,18,26,29,28
01,8,2024,3,16,30,32,33,27
01,7,2024,2,8,17,26,32,7
01,6,2024,11,12,24,27,35,36
01,5,2024,6,21,22,25,29,17
01,4,2024,5,21,32,38,39,7
01,3,2024,9,12,18,31,35,37
01,2,2024,4,7,12,20,29,39
01,1,2024,15,23,25,26,27,9
12,31,2023,7,14,17,20,31,29
12,30,2023,11,14,27,32,33,35
12,29,2023,9,21,22,25,34,1
12,28,2023,4,7,9,16,32,5
12,27,2023,5,18,20,24,33,3
12,26,2023,4,8,31,34,37,26
12,25,2023,8,13,18,23,24,17
12,24,2023,16,24,25,27,29,36
12,23,2023,11,20,29,33,36,32
12,22,2023,2,5,21,28,32,20
12,21,2023,3,21,24,27,30,25
12,20,2023,4,19,20,23,29,38
12,19,2023,9,13,16,19,36,32
12,18,2023,7,9,12,16,38,33
12,17,2023,6,7,15,17,32,26
12,16,2023,10,16,30,35,38,12
12,15,2023,2,9,11,16,18,25
12,14,2023,2,6,9,37,39,19
12,13,2023,1,2,12,17,18,38
12,12,2023,1,11,18,19,33,30
12,11,2023,1,11,19,25,29,32
12,10,2023,8,10,15,16,17,36
12,9,2023,3,7,13,21,28,14
12,8,2023,3,14,25,37,38,4
12,7,2023,2,10,11,12,26,24
12,6,2023,7,8,12,16,23,9
12,5,2023,1,9,12,14,39,28
12,4,2023,8,12,25,30,34,4
12,3,2023,14,16,20,26,36,9
12,2,2023,2,21,26,34,35,36
12,1,2023,2,11,23,27,34,13
11,30,2023,4,12,16,27,38,6
11,29,2023,8,11,14,25,37,4
11,28,2023,13,16,21,22,23,1
11,27,2023,12,17,19,31,32,4
11,26,2023,9,17,27,28,35,2
11,25,2023,1,27,34,37,38,15
11,24,2023,5,14,24,29,31,2
11,23,2023,8,9,11,14,20,36
11,22,2023,19,23,26,28,37,11
11,21,2023,1,3,25,35,38,36
11,20,2023,2,8,9,12,35,38
11,19,2023,7,13,21,31,38,24
11,18,2023,10,18,20,22,31,23
11,17,2023,2,3,24,33,36,29
11,16,2023,12,14,28,32,38,13
11,15,2023,5,18,21,24,38,19
11,14,2023,1,4,6,21,33,3
11,13,2023,1,12,19,32,33,8
11,12,2023,3,8,12,16,37,5
11,11,2023,6,7,12,13,33,37
11,10,2023,6,8,21,30,31,38
11,9,2023,15,17,24,31,36,25
11,8,2023,11,23,24,30,38,4
11,7,2023,7,13,15,20,28,22
11,6,2023,2,15,18,26,39,34
11,5,2023,11,12,19,30,37,14
11,4,2023,12,20,22,25,27,23
11,3,2023,2,5,27,33,37,38
11,2,2023,13,27,31,32,39,23
11,1,2023,3,8,13,16,22,1
10,31,2023,9,22,23,27,31,11
10,30,2023,8,15,19,25,26,3
10,29,2023,5,7,14,18,34,35
10,28,2023,8,11,29,31,39,24
10,27,2023,7,8,20,28,31,33
10,26,2023,20,22,25,27,30,31
10,25,2023,11,25,26,33,39,2
10,24,2023,10,13,15,27,33,38
10,23,2023,17,19,23,25,35,14
10,22,2023,8,13,14,21,39,16
10,21,2023,1,4,12,19,28,2
10,20,2023,1,15,22,28,30,39
10,19,2023,4,10,17,35,39,32
10,18,2023,1,12,24,32,38,13
10,17,2023,1,17,29,32,35,6
10,16,2023,14,22,24,27,35,38
10,15,2023,3,14,16,20,38,17
10,14,2023,15,28,31,34,36,21
10,13,2023,1,2,5,7,38,31
10,12,2023,3,6,11,30,36,4
10,11,2023,8,12,20,22,28,2
10,10,2023,15,22,27,28,29,26
10,9,2023,8,16,27,28,38,35
10,8,2023,11,20,25,30,37,34
10,7,2023,8,10,13,21,25,20
10,6,2023,18,25,30,37,39,17
10,5,2023,5,6,20,33,36,22
10,4,2023,1,4,13,15,27,31
10,3,2023,6,21,23,25,28,2
10,2,2023,10,13,19,35,36,27
10,1,2023,6,8,10,26,39,33
09,30,2023,1,9,18,22,32,2
09,29,2023,8,14,16,17,25,31
09,28,2023,6,12,29,33,35,5
09,27,2023,13,23,30,32,35,10
09,26,2023,8,10,22,37,38,4
09,25,2023,12,24,34,35,38,16
09,24,2023,3,12,13,16,37,26
09,23,2023,10,16,18,22,27,33
09,22,2023,5,24,30,36,37,20
09,21,2023,6,15,24,28,30,8
09,20,2023,8,9,30,36,38,2
09,19,2023,1,12,27,32,37,10
09,18,2023,13,16,19,25,38,33
09,17,2023,18,23,29,31,32,9
09,16,2023,2,19,34,35,38,3
09,15,2023,1,11,17,34,39,13
09,14,2023,6,10,31,38,39,18
09,13,2023,14,15,19,20,23,5
09,12,2023,13,20,25,30,39,36
09,11,2023,7,18,32,35,36,30
09,10,2023,2,8,26,30,34,29
09,9,2023,9,16,28,31,33,26
09,8,2023,9,10,16,30,35,28
09,7,2023,3,14,21,30,31,5
09,6,2023,9,16,36,37,39,3
09,5,2023,13,29,32,35,37,5
09,4,2023,4,14,19,21,36,11
09,3,2023,8,17,18,23,39,36
09,2,2023,9,15,18,19,28,5
09,1,2023,4,5,9,10,18,31
08,31,2023,14,22,24,30,34,25
08,30,2023,3,5,13,19,29,2
08,29,2023,15,17,30,32,39,12
08,28,2023,2,7,23,35,38,22
08,27,2023,7,26,29,32,39,15
08,26,2023,10,17,23,26,28,18
08,25,2023,14,18,19,31,38,34
08,24,2023,6,9,10,21,28,5
08,23,2023,2,13,27,29,35,34
08,22,2023,13,16,17,18,26,4
08,21,2023,12,17,19,20,35,2
08,20,2023,2,8,10,13,34,25
08,19,2023,2,11,17,32,33,19
08,18,2023,10,11,13,32,37,35
08,17,2023,3,9,19,36,38,15
08,16,2023,7,14,29,35,39,37
08,15,2023,2,6,15,17,31,14
08,14,2023,9,23,24,28,36,2
08,13,2023,6,8,17,23,25,1
08,12,2023,5,14,15,26,39,9
08,11,2023,3,6,20,34,38,14
08,10,2023,1,21,27,34,39,3
08,9,2023,1,22,27,28,31,10
08,8,2023,3,19,23,24,33,16
08,7,2023,5,16,23,27,29,24
08,6,2023,1,7,28,30,35,2
08,5,2023,1,6,9,17,35,7
08,4,2023,4,16,19,20,22,25
08,3,2023,7,9,11,20,22,21
08,2,2023,11,19,20,22,25,16
08,1,2023,7,14,15,24,33,6
07,31,2023,2,7,21,36,38,33
07,30,2023,11,12,25,27,37,21
07,29,2023,11,13,20,22,30,6
07,28,2023,13,17,22,26,32,4
07,27,2023,4,21,30,32,33,8
07,26,2023,4,9,10,20,23,12
07,25,2023,14,15,27,34,38,23
07,24,2023,1,4,8,38,39,34
07,23,2023,22,23,31,34,35,30
07,22,2023,10,14,15,32,34,29
07,21,2023,21,24,26,32,35,23
07,20,2023,5,6,11,37,38,3
07,19,2023,16,23,30,35,36,38
07,18,2023,7,24,26,32,37,28
07,17,2023,8,15,18,25,28,30
07,16,2023,7,11,33,35,39,23
07,15,2023,3,6,8,23,33,22
07,14,2023,7,19,27,29,37,15
07,13,2023,13,19,22,23,27,34
07,12,2023,10,11,17,21,29,28
07,11,2023,3,13,15,25,29,22
07,10,2023,2,6,25,28,31,36
07,9,2023,4,10,14,22,33,36
07,8,2023,6,7,17,20,33,9
07,7,2023,2,16,24,29,35,15
07,6,2023,2,11,12,14,16,17
07,5,2023,3,6,7,11,16,2
07,4,2023,3,13,22,34,35,19
07,3,2023,1,5,10,13,27,3
07,2,2023,2,6,20,21,26,4
07,1,2023,2,15,25,29,38,7
06,30,2023,1,6,12,16,21,31
06,29,2023,11,21,29,35,37,30
06,28,2023,25,29,30,31,38,12
06,27,2023,1,4,5,27,33,39
06,26,2023,3,8,16,19,26,6
06,25,2023,17,18,20,24,30,21
06,24,2023,3,7,14,18,30,10
06,23,2023,10,18,25,26,31,38
06,22,2023,2,8,16,28,36,34
06,21,2023,1,2,24,26,35,25
06,20,2023,14,26,34,35,36,3
06,19,2023,22,23,29,35,38,37
06,18,2023,5,8,15,32,33,12
06,17,2023,9,10,15,19,36,5
06,16,2023,1,5,12,16,39,20
06,15,2023,1,5,8,24,32,37
06,14,2023,9,10,24,26,30,11
06,13,2023,1,2,17,18,24,6
06,12,2023,10,12,21,23,26,37
06,11,2023,8,13,21,31,35,26
06,10,2023,7,8,10,24,27,6
06,9,2023,7,18,19,22,35,23
06,8,2023,12,16,22,27,33,9
06,7,2023,1,4,11,19,39,38
06,6,2023,7,18,24,30,36,21
06,5,2023,1,3,6,15,37,33
06,4,2023,6,22,23,27,38,21
06,3,2023,3,10,19,30,31,11
06,2,2023,2,13,17,18,25,36
06,1,2023,8,11,19,21,34,38
05,31,2023,11,31,32,36,39,21
05,30,2023,1,13,21,33,39,38
05,29,2023,11,18,23,26,38,6
05,28,2023,5,6,8,23,30,33
05,27,2023,4,7,26,35,37,5
05,26,2023,10,21,26,27,29,22
05,25,2023,3,11,17,32,34,31
05,24,2023,3,9,15,34,38,35
05,23,2023,15,19,25,33,34,30
05,22,2023,21,24,29,32,33,16
05,21,2023,1,14,15,21,23,18
05,20,2023,2,6,15,17,20,13
05,19,2023,3,7,14,25,35,4
05,18,2023,18,20,23,29,30,12
05,17,2023,3,4,8,16,35,32
05,16,2023,1,4,12,18,30,29
05,15,2023,10,19,26,30,34,12
05,14,2023,1,4,9,15,33,27
05,13,2023,11,14,21,28,30,37
05,12,2023,15,17,22,27,37,25
05,11,2023,6,14,18,21,23,22
05,10,2023,4,17,22,33,35,27
05,9,2023,7,8,21,27,36,32
05,8,2023,5,12,14,27,38,1
05,7,2023,1,13,16,31,35,10
05,6,2023,4,8,13,16,28,3
05,5,2023,7,26,29,35,36,11
05,4,2023,1,7,14,18,22,8
05,3,2023,10,14,15,24,27,5
05,2,2023,4,14,15,27,36,25
05,1,2023,3,4,29,38,39,17
04,30,2023,1,19,20,29,30,16
04,29,2023,4,19,26,28,29,20
04,28,2023,2,5,10,28,33,15
04,27,2023,6,9,27,30,32,37
04,26,2023,10,16,22,33,37,38
04,25,2023,5,6,25,35,36,20
04,24,2023,13,23,25,30,31,8
04,23,2023,2,13,15,17,25,35
04,22,2023,4,20,23,29,33,30
04,21,2023,6,9,13,14,36,29
04,20,2023,17,18,21,37,39,34
04,19,2023,6,8,16,29,39,9
04,18,2023,6,11,24,25,37,7
04,17,2023,1,8,20,21,37,15
04,16,2023,18,21,22,30,36,35
04,15,2023,4,13,22,28,34,20
04,14,2023,2,17,20,25,26,3
04,13,2023,2,25,27,31,32,3
04,12,2023,2,4,12,14,29,37
04,11,2023,1,6,15,17,33,29
04,10,2023,1,3,21,23,38,9
04,9,2023,3,11,17,31,32,9
04,8,2023,16,17,32,35,39,11
04,7,2023,2,5,21,30,37,13
04,6,2023,3,22,25,27,36,18
04,5,2023,10,12,15,36,38,2
04,4,2023,4,9,13,30,36,29
04,3,2023,10,13,23,28,29,8
04,2,2023,8,11,32,36,38,30
04,1,2023,10,15,16,30,39,37
02,31,2023,22,23,24,31,33,12
02,30,2023,14,26,27,37,39,6
02,29,2023,5,20,27,31,39,8
02,28,2023,1,4,6,12,39,23
02,27,2023,7,11,16,37,39,1
02,26,2023,6,8,9,25,34,2
02,25,2023,6,18,31,32,36,7
02,24,2023,3,12,19,27,33,32
02,23,2023,1,9,23,34,39,27
02,22,2023,15,17,23,24,30,39
02,21,2023,5,14,21,34,37,7
02,20,2023,5,7,16,31,32,28
02,19,2023,2,7,10,20,38,6
02,18,2023,2,4,29,33,34,11
02,17,2023,3,16,26,31,38,36
02,16,2023,2,8,30,31,35,19
02,15,2023,14,24,29,33,36,30
02,14,2023,1,10,13,20,34,7
02,13,2023,5,6,21,22,26,17
02,12,2023,2,8,19,23,33,37
02,11,2023,14,21,25,34,36,28
02,10,2023,2,16,17,26,28,19
02,9,2023,2,12,15,23,31,18
02,8,2023,16,19,28,30,37,11
02,7,2023,10,12,16,26,28,14
02,6,2023,4,11,19,24,37,16
02,5,2023,3,5,17,27,39,1
02,4,2023,24,27,33,35,37,30
02,3,2023,1,4,5,23,28,12
02,2,2023,3,17,22,28,35,34
02,1,2023,2,6,16,26,33,30
02,28,2023,2,5,19,29,31,32
02,27,2023,2,23,24,26,31,21
02,26,2023,2,22,25,27,38,15
02,25,2023,1,3,14,29,35,17
02,24,2023,9,15,23,24,28,27
02,23,2023,12,15,17,24,36,30
02,22,2023,5,13,14,28,33,10
02,21,2023,4,13,14,15,24,28
02,20,2023,4,13,30,37,39,35
02,19,2023,4,8,10,21,37,31
02,18,2023,25,28,31,32,37,14
02,17,2023,9,25,30,36,39,15
02,16,2023,8,10,19,22,24,17
02,15,2023,1,3,12,32,36,10
02,14,2023,5,8,13,19,24,33
02,13,2023,2,10,15,28,37,19
02,12,2023,1,11,12,17,28,24
02,11,2023,22,27,33,34,38,1
02,10,2023,1,2,5,15,18,29
02,9,2023,7,11,19,21,32,9
02,8,2023,2,20,25,31,32,21
02,7,2023,9,10,12,18,23,14
02,6,2023,6,17,27,33,36,12
02,5,2023,4,19,20,28,33,31
02,4,2023,9,14,23,26,33,34
02,3,2023,13,26,32,34,35,6
