month,day,year,position01,position02,position03,position04,position05
04,9,2024,6,15,17,28,35
04,8,2024,4,10,13,16,24
04,7,2024,9,13,22,37,43
04,6,2024,26,28,29,30,32
04,5,2024,7,9,13,14,37
04,4,2024,3,11,12,26,40
04,3,2024,1,6,18,28,31
04,2,2024,4,25,26,38,43
04,1,2024,2,10,23,26,40
02,31,2024,4,6,24,32,38
02,30,2024,11,22,24,27,31
02,29,2024,7,14,25,37,42
02,28,2024,2,9,23,33,38
02,27,2024,3,10,15,23,24
02,26,2024,11,17,32,33,36
02,25,2024,2,27,31,35,37
02,24,2024,13,28,36,39,45
02,23,2024,4,9,20,22,29
02,22,2024,18,23,28,35,38
02,21,2024,6,8,13,16,17
02,20,2024,4,7,11,12,22
02,19,2024,4,12,16,17,29
02,18,2024,22,31,33,37,42
02,17,2024,2,8,38,40,45
02,16,2024,10,21,24,28,31
02,15,2024,22,25,32,36,39
02,14,2024,3,5,30,32,44
02,13,2024,9,10,25,28,43
02,12,2024,4,5,18,22,33
02,11,2024,6,29,31,38,45
02,10,2024,1,6,12,20,42
02,9,2024,2,18,22,25,36
02,8,2024,2,15,22,23,41
02,7,2024,9,27,28,35,43
02,6,2024,1,20,37,41,45
02,5,2024,9,23,31,34,43
02,4,2024,1,16,28,30,33
02,3,2024,8,16,18,28,37
02,2,2024,8,24,27,32,42
02,1,2024,13,16,20,24,37
02,29,2024,8,15,22,23,38
02,28,2024,1,6,14,21,27
02,27,2024,14,26,27,33,42
02,26,2024,3,8,24,32,44
02,25,2024,4,20,22,27,41
02,24,2024,1,3,35,37,44
02,23,2024,15,23,24,30,33
02,22,2024,1,14,21,30,39
02,21,2024,13,15,36,38,40
02,20,2024,6,12,27,31,32
02,19,2024,8,28,30,31,43
02,18,2024,17,20,21,25,39
02,17,2024,4,30,34,35,36
02,16,2024,1,15,24,38,41
02,15,2024,4,5,26,32,34
02,14,2024,3,4,6,7,41
02,13,2024,3,7,8,24,36
02,12,2024,11,23,30,41,44
02,11,2024,9,20,24,26,35
02,10,2024,13,25,26,27,32
02,9,2024,12,16,32,42,45
02,8,2024,2,12,30,34,40
02,7,2024,11,33,35,37,45
02,6,2024,14,22,23,27,42
02,5,2024,4,22,30,34,45
02,4,2024,4,11,26,29,38
02,3,2024,2,6,7,12,25
02,2,2024,8,10,32,36,44
02,1,2024,4,7,19,25,31
01,31,2024,18,19,34,38,40
01,30,2024,2,6,28,29,35
01,29,2024,8,9,36,39,44
01,28,2024,4,5,21,23,44
01,27,2024,5,15,18,30,32
01,26,2024,1,15,19,37,41
01,25,2024,11,30,31,32,43
01,24,2024,7,23,27,36,38
01,23,2024,1,14,27,42,45
01,22,2024,7,16,20,29,37
01,21,2024,13,15,38,40,43
01,20,2024,10,13,14,36,37
01,19,2024,24,25,35,39,44
01,18,2024,5,8,16,19,37
01,17,2024,10,22,28,31,40
01,16,2024,3,8,10,30,39
01,15,2024,9,10,33,38,44
01,14,2024,4,27,32,40,45
01,13,2024,5,9,20,29,43
01,12,2024,15,20,28,39,44
01,11,2024,3,5,6,16,24
01,10,2024,5,13,14,24,38
01,9,2024,1,28,37,39,41
01,8,2024,7,15,21,41,43
01,7,2024,1,10,18,25,26
01,6,2024,10,20,27,31,33
01,5,2024,10,11,25,36,45
01,4,2024,5,15,23,40,44
01,3,2024,1,19,22,33,44
01,2,2024,12,14,19,28,43
01,1,2024,7,8,25,29,34
12,31,2023,15,16,23,27,35
12,30,2023,6,20,25,34,39
12,29,2023,1,5,20,31,32
12,28,2023,20,30,36,38,42
12,27,2023,7,10,11,26,39
12,26,2023,4,9,19,35,39
12,25,2023,5,12,15,16,43
12,24,2023,5,9,19,36,43
12,23,2023,1,10,30,31,34
12,22,2023,5,25,28,33,41
12,21,2023,1,4,6,21,43
12,20,2023,3,10,22,30,34
12,19,2023,4,11,16,17,38
12,18,2023,3,8,10,12,26
12,17,2023,2,3,28,34,42
12,16,2023,4,11,29,34,42
12,15,2023,13,21,26,35,43
12,14,2023,2,9,23,31,44
12,13,2023,5,9,37,42,45
12,12,2023,8,21,38,41,43
12,11,2023,7,10,12,18,22
12,10,2023,12,26,32,35,38
12,9,2023,4,12,22,31,33
12,8,2023,13,21,24,37,43
12,7,2023,13,30,33,34,42
12,6,2023,20,25,31,36,37
12,5,2023,20,25,28,41,42
12,4,2023,15,17,19,27,37
12,3,2023,1,8,21,24,30
12,2,2023,4,15,17,23,40
12,1,2023,6,9,19,35,39
11,30,2023,9,19,21,30,44
11,29,2023,4,8,22,29,40
11,28,2023,15,25,39,42,45
11,27,2023,6,26,30,34,38
11,26,2023,11,22,25,33,43
11,25,2023,8,9,15,16,20
11,24,2023,12,19,30,31,36
11,23,2023,11,19,23,27,43
11,22,2023,5,15,30,31,35
11,21,2023,3,7,16,27,42
11,20,2023,16,18,24,26,35
11,19,2023,12,17,27,29,35
11,18,2023,3,4,21,37,44
11,17,2023,1,25,27,29,41
11,16,2023,3,8,15,31,42
11,15,2023,1,7,9,36,41
11,14,2023,1,29,32,33,45
11,13,2023,1,2,6,8,28
11,12,2023,31,35,37,42,45
11,11,2023,2,22,29,38,42
11,10,2023,8,24,30,31,41
11,9,2023,1,4,16,29,42
11,8,2023,8,14,21,32,38
11,7,2023,9,13,22,24,40
11,6,2023,7,19,22,37,43
11,5,2023,6,15,18,32,37
11,4,2023,7,10,19,26,43
11,3,2023,13,19,23,27,29
11,2,2023,6,8,23,24,25
11,1,2023,2,28,33,34,44
10,31,2023,3,9,13,26,39
10,30,2023,8,15,21,27,36
10,29,2023,2,4,10,25,29
10,28,2023,13,32,34,39,44
10,27,2023,9,13,22,30,35
10,26,2023,1,5,11,34,38
10,25,2023,9,10,31,37,40
10,24,2023,4,17,28,31,40
10,23,2023,16,25,27,29,30
10,22,2023,17,19,24,30,32
10,21,2023,6,29,38,40,44
10,20,2023,7,25,31,40,43
10,19,2023,21,32,36,39,42
10,18,2023,5,11,25,28,43
10,17,2023,6,8,14,37,39
10,16,2023,4,6,9,16,18
10,15,2023,1,3,19,22,38
10,14,2023,2,18,27,31,32
10,13,2023,8,11,29,30,33
10,12,2023,14,22,23,25,28
10,11,2023,14,25,27,30,36
10,10,2023,8,9,29,40,41
10,9,2023,5,8,20,33,34
10,8,2023,3,14,25,29,34
10,7,2023,8,19,22,31,32
10,6,2023,1,5,12,17,29
10,5,2023,1,6,8,10,13
10,4,2023,13,22,26,33,38
10,3,2023,15,18,36,40,41
10,2,2023,8,18,19,20,30
10,1,2023,2,25,27,37,38
09,30,2023,10,30,38,40,41
09,29,2023,1,2,15,25,39
09,28,2023,9,10,12,14,27
09,27,2023,8,21,25,29,40
09,26,2023,6,7,19,34,40
09,25,2023,4,17,18,20,37
09,24,2023,2,9,22,27,35
09,23,2023,3,20,21,29,40
09,22,2023,18,22,23,29,39
09,21,2023,4,7,13,28,41
09,20,2023,2,5,22,28,37
09,19,2023,3,7,10,21,24
09,18,2023,5,12,17,24,33
09,17,2023,11,16,17,19,36
09,16,2023,5,6,7,31,37
09,15,2023,3,12,16,37,39
09,14,2023,4,6,26,27,40
09,13,2023,3,9,21,27,28
09,12,2023,13,20,31,34,39
09,11,2023,5,22,27,36,41
09,10,2023,2,4,6,29,37
09,9,2023,23,28,34,39,40
09,8,2023,8,10,25,31,39
09,7,2023,4,5,16,34,40
09,6,2023,7,14,22,36,40
09,5,2023,11,21,25,29,36
09,4,2023,7,9,15,31,39
09,3,2023,4,16,20,23,33
09,2,2023,8,17,21,30,32
09,1,2023,1,9,18,23,29
08,31,2023,6,7,8,18,20
08,30,2023,5,7,20,35,37
08,29,2023,3,16,21,36,40
08,28,2023,2,9,11,12,15
08,27,2023,4,9,24,31,35
08,26,2023,10,19,23,24,29
08,25,2023,20,24,25,31,33
08,24,2023,2,8,10,20,35
08,23,2023,4,15,28,37,41
08,22,2023,13,14,31,39,41
08,21,2023,4,5,21,23,40
08,20,2023,3,30,31,34,40
08,19,2023,2,10,15,26,38
08,18,2023,22,24,29,33,37
08,17,2023,18,25,26,32,38
08,16,2023,12,29,38,39,40
08,15,2023,6,8,32,38,40
08,14,2023,4,17,26,33,39
08,13,2023,5,7,8,23,27
08,12,2023,5,11,19,20,29
08,11,2023,5,14,18,37,41
08,10,2023,13,15,16,29,41
08,9,2023,7,12,22,34,40
08,8,2023,8,10,24,39,41
08,7,2023,10,18,20,33,37
08,6,2023,12,20,24,27,41
08,5,2023,14,23,28,34,38
08,4,2023,8,18,28,38,41
08,3,2023,13,17,28,29,37
08,2,2023,3,5,6,13,19
08,1,2023,9,13,30,31,35
07,31,2023,1,17,25,32,36
07,30,2023,3,6,7,8,34
07,29,2023,10,21,26,29,37
07,28,2023,11,27,31,32,38
07,27,2023,1,2,8,19,27
07,26,2023,8,11,16,26,37
07,25,2023,22,23,30,33,40
07,24,2023,9,16,29,30,40
07,23,2023,1,5,6,29,40
07,22,2023,18,29,30,32,39
07,21,2023,7,11,20,22,35
07,20,2023,7,32,38,40,41
07,19,2023,21,23,36,38,40
07,18,2023,5,10,12,28,39
07,17,2023,11,14,20,28,36
07,16,2023,5,17,33,38,40
07,15,2023,3,7,9,20,27
07,14,2023,2,11,15,23,25
07,13,2023,1,8,11,14,36
07,12,2023,3,8,29,33,34
07,11,2023,2,9,31,34,36
07,10,2023,9,13,17,18,22
07,9,2023,11,12,29,36,40
07,8,2023,1,2,8,27,41
07,7,2023,3,4,7,19,40
07,6,2023,1,15,18,37,39
07,5,2023,13,15,17,34,35
07,4,2023,2,11,15,27,28
07,3,2023,1,3,11,21,32
07,2,2023,4,7,14,30,34
07,1,2023,6,14,15,21,24
06,30,2023,3,4,25,27,39
06,29,2023,19,23,24,35,39
06,28,2023,7,12,13,16,41
06,27,2023,6,27,33,38,40
