month,day,year,position01,position02,position03,position04,position05,position06,position07
04,5,2024,20,30,54,63,65,14,3
04,2,2024,10,50,56,60,66,19,3
03,29,2024,11,30,33,38,60,16,4
03,26,2024,7,11,22,29,38,4,2
03,22,2024,3,8,31,35,44,16,3
03,19,2024,24,46,49,62,66,7,2
03,15,2024,13,25,50,51,66,6,5
03,12,2024,2,16,31,57,64,24,3
03,8,2024,19,20,22,47,58,1,3
03,5,2024,2,49,50,61,70,14,2
03,1,2024,15,33,37,55,61,24,4
02,27,2024,6,18,26,27,49,4,3
02,23,2024,4,6,40,41,60,11,5
02,20,2024,5,45,55,58,68,7,2
02,16,2024,19,23,39,42,67,18,4
02,13,2024,1,3,19,25,58,20,3
02,9,2024,17,22,29,46,69,1,3
02,6,2024,2,10,31,44,57,10,4
02,2,2024,11,22,42,64,69,18,3
01,30,2024,3,5,16,58,59,11,4
01,26,2024,14,31,34,50,61,13,3
01,23,2024,21,28,58,69,70,20,2
01,19,2024,1,9,16,17,30,17,2
01,16,2024,2,10,42,49,54,13,2
01,12,2024,19,34,35,45,67,7,3
01,9,2024,12,15,32,33,53,24,3
01,5,2024,5,23,26,38,44,25,3
01,2,2024,3,18,27,29,64,1,2
12,29,2023,11,27,30,62,70,10,3
12,26,2023,8,10,22,58,64,21,3
12,22,2023,10,26,36,54,69,4,4
12,19,2023,17,26,50,58,61,11,3
12,15,2023,10,20,28,40,54,12,2
12,12,2023,8,23,44,45,53,3,4
12,8,2023,21,26,53,66,70,13,3
12,5,2023,18,35,40,64,67,18,4
12,1,2023,12,47,49,52,65,12,4
11,28,2023,27,37,42,59,61,11,3
11,24,2023,6,15,45,59,68,1,4
11,21,2023,17,22,25,30,38,24,4
11,17,2023,6,12,31,33,69,17,3
11,14,2023,29,35,59,61,69,22,4
11,10,2023,13,33,59,68,70,8,3
11,7,2023,3,11,33,42,52,20,2
11,3,2023,15,32,38,47,65,12,4
10,31,2023,14,35,37,55,70,15,3
10,27,2023,11,32,43,57,70,6,4
10,24,2023,16,20,30,54,59,7,3
10,20,2023,7,29,36,49,61,22,4
10,17,2023,5,6,29,32,61,20,4
10,13,2023,6,18,44,46,68,18,3
10,10,2023,3,8,17,46,63,7,4
10,6,2023,12,24,46,57,66,22,3
10,3,2023,3,19,32,39,59,24,3
09,29,2023,18,40,47,55,64,11,4
09,26,2023,15,30,35,42,60,16,4
09,22,2023,10,13,14,57,66,3,2
09,19,2023,6,9,13,29,66,24,2
09,15,2023,5,13,29,50,53,25,3
09,12,2023,2,14,21,42,67,18,5
09,8,2023,3,12,17,51,62,1,3
09,5,2023,3,43,50,51,65,13,2
09,1,2023,10,31,42,43,55,8,2
08,29,2023,9,39,52,61,63,25,3
08,25,2023,12,23,26,31,38,2,2
08,22,2023,1,12,26,36,50,7,2
08,18,2023,10,20,29,44,66,11,3
08,15,2023,18,39,42,57,63,7,3
08,11,2023,8,9,18,35,41,18,3
08,8,2023,13,19,20,32,33,14,2
08,4,2023,11,30,45,52,56,20,2
08,1,2023,8,24,30,45,61,12,4
07,28,2023,5,10,28,52,63,18,5
07,25,2023,3,5,6,44,61,25,4
07,21,2023,29,40,47,50,57,25,2
07,18,2023,19,22,31,37,54,18,4
07,14,2023,10,24,48,51,66,15,2
07,11,2023,10,17,33,51,64,5,2
07,7,2023,8,10,17,55,66,3,3
07,4,2023,21,33,54,61,67,12,3
06,30,2023,13,22,47,51,55,9,3
06,27,2023,8,34,35,41,52,12,4
06,23,2023,13,62,65,67,69,14,5
06,20,2023,6,37,39,45,46,21,4
06,16,2023,4,24,34,45,57,19,3
06,13,2023,8,10,19,44,47,4,4
06,9,2023,3,19,53,60,68,13,3
06,6,2023,6,12,23,29,57,4,2
06,2,2023,3,16,19,36,60,25,2
05,30,2023,13,16,40,64,68,21,2
05,26,2023,12,20,37,41,64,1,3
05,23,2023,3,10,22,65,66,19,2
05,19,2023,5,11,41,44,55,14,2
05,16,2023,15,34,36,69,70,17,3
05,12,2023,1,2,23,40,45,15,3
05,9,2023,4,37,46,48,51,19,3
05,5,2023,16,18,28,42,43,11,3
05,2,2023,3,15,16,32,41,9,2
04,28,2023,18,38,53,62,64,20,3
04,25,2023,8,29,46,47,48,12,2
04,21,2023,3,21,29,46,63,9,3
04,18,2023,7,9,15,19,25,4,2
04,14,2023,23,27,41,48,51,22,2
04,11,2023,31,35,53,54,55,24,3
04,7,2023,12,32,49,51,66,21,2
04,4,2023,1,37,45,62,64,4,3
03,31,2023,16,26,27,42,61,23,4
03,28,2023,2,3,18,32,68,24,4
03,24,2023,14,17,33,42,66,15,3
03,21,2023,1,21,25,27,40,11,2
03,17,2023,26,28,29,39,49,25,3
03,14,2023,1,7,23,38,55,2,3
03,10,2023,9,20,59,60,63,5,2
03,7,2023,15,22,25,28,69,21,4
03,3,2023,8,25,36,39,67,11,4
02,28,2023,14,16,40,52,59,13,2
02,24,2023,2,22,49,65,67,7,4
02,21,2023,2,15,30,36,63,24,2
02,17,2023,2,33,38,57,70,13,3
02,14,2023,23,24,35,40,43,1,3
02,10,2023,20,29,30,52,58,19,3
02,7,2023,9,15,46,55,57,4,2
02,3,2023,1,4,50,54,59,17,2
01,31,2023,7,9,18,29,39,13,4
01,27,2023,4,43,46,47,61,22,4
01,24,2023,33,41,47,50,62,20,4
01,20,2023,20,29,31,64,66,17,4
01,17,2023,2,12,18,24,39,18,3
01,13,2023,30,43,45,46,61,14,2
01,10,2023,7,13,14,15,18,9,3
01,6,2023,3,20,46,59,63,13,3
