month,day,year,position01,position02,position03,position04,position05,position06
04,8,2024,5,11,13,16,23,33
04,4,2024,15,24,26,28,29,38
04,1,2024,8,10,16,34,36,38
02,28,2024,4,9,14,24,31,36
02,25,2024,8,18,18,27,31,36
02,21,2024,3,7,12,27,31,36
02,18,2024,2,11,15,18,19,25
02,14,2024,4,19,23,26,32,43
02,11,2024,11,16,20,29,39,41
02,7,2024,17,23,24,25,26,41
02,4,2024,4,10,11,15,21,31
02,29,2024,8,12,13,16,30,32
02,26,2024,7,13,17,18,25,34
02,22,2024,9,11,13,26,31,42
02,19,2024,8,9,10,19,23,31
02,15,2024,1,6,11,13,19,36
02,12,2024,4,6,11,14,30,43
02,8,2024,7,11,22,31,33,42
02,5,2024,1,9,26,38,41,43
02,1,2024,1,4,5,13,20,28
01,29,2024,8,12,23,27,36,42
01,25,2024,1,4,8,14,16,26
01,22,2024,3,9,20,34,36,42
01,18,2024,3,7,10,12,17,31
01,15,2024,3,7,15,35,37,38
01,11,2024,2,9,10,27,34,43
01,8,2024,4,6,7,18,25,28
01,4,2024,2,3,12,22,25,41
01,1,2024,7,18,30,32,36,40
12,28,2023,21,24,26,32,39,40
12,25,2023,11,16,21,36,37,41
12,21,2023,4,8,11,12,13,20
12,18,2023,6,8,17,19,26,32
12,14,2023,5,6,10,16,25,41
12,11,2023,1,12,13,28,35,43
12,7,2023,15,24,26,35,39,41
12,4,2023,24,32,34,36,39,43
11,30,2023,4,6,11,12,20,28
11,27,2023,4,23,24,32,39,41
11,23,2023,2,9,24,39,40,43
11,20,2023,6,13,21,23,28,43
11,16,2023,1,2,20,22,33,36
11,13,2023,4,18,20,28,35,38
11,9,2023,8,12,18,20,39,43
11,6,2023,8,12,25,34,37,40
11,2,2023,5,8,10,16,23,37
10,30,2023,13,16,25,33,38,41
10,26,2023,3,12,13,28,37,43
10,23,2023,8,15,21,27,33,39
10,19,2023,2,18,21,24,25,40
10,16,2023,5,13,19,21,32,33
10,12,2023,18,29,32,35,38,40
10,9,2023,7,13,29,32,36,41
10,5,2023,6,10,16,37,38,42
10,2,2023,1,6,14,39,40,43
09,28,2023,15,23,24,25,32,37
09,25,2023,11,20,23,27,29,42
09,21,2023,2,16,18,21,33,38
09,18,2023,7,12,21,25,32,33
09,14,2023,1,3,9,10,17,37
09,11,2023,7,19,26,28,34,42
09,7,2023,2,25,33,34,37,40
09,4,2023,20,26,27,31,35,39
08,31,2023,1,2,7,13,27,35
08,28,2023,1,7,9,17,23,26
08,24,2023,10,12,15,16,24,28
08,21,2023,16,26,31,33,34,42
08,17,2023,6,26,32,33,41,42
08,14,2023,3,11,23,27,33,41
08,10,2023,14,15,20,32,40,42
08,7,2023,10,19,22,28,31,39
08,3,2023,3,9,16,18,21,35
07,31,2023,11,12,22,29,38,42
07,27,2023,5,17,19,25,33,43
07,24,2023,4,17,19,22,26,41
07,20,2023,3,11,18,26,30,37
07,17,2023,1,12,35,37,41,43
07,13,2023,1,14,23,30,31,34
07,10,2023,25,28,31,34,39,42
07,6,2023,3,16,23,27,30,35
07,3,2023,12,14,20,25,35,42
06,29,2023,9,16,26,27,33,43
06,26,2023,1,10,13,15,22,35
06,22,2023,13,21,30,38,41,42
06,19,2023,6,11,12,31,39,43
06,15,2023,1,8,10,24,36,37
06,12,2023,19,24,34,35,38,43
06,8,2023,5,17,18,19,23,38
06,5,2023,3,14,16,34,36,41
06,1,2023,2,9,14,29,41,43
05,29,2023,2,10,12,15,25,41
05,25,2023,22,30,34,35,37,39
05,22,2023,7,9,19,30,34,41
05,18,2023,22,23,24,26,28,33
05,15,2023,15,18,31,33,35,42
05,11,2023,8,17,27,32,36,39
05,8,2023,15,16,33,37,40,41
05,4,2023,8,12,15,29,35,38
05,1,2023,9,19,28,30,34,36
04,27,2023,9,15,17,23,25,40
04,24,2023,1,24,26,29,31,34
04,20,2023,9,12,16,34,37,41
04,17,2023,6,9,13,23,29,39
04,13,2023,3,6,16,25,37,39
04,10,2023,9,11,21,24,32,40
04,6,2023,10,14,19,25,34,41
04,3,2023,8,9,15,21,23,40
02,30,2023,6,8,12,37,38,40
02,27,2023,10,14,21,31,33,38
02,23,2023,4,12,16,26,33,40
02,20,2023,16,19,22,26,39,42
02,16,2023,5,9,12,18,40,41
02,13,2023,22,29,38,39,41,42
02,9,2023,6,10,13,16,30,42
02,6,2023,6,10,26,30,31,38
02,2,2023,4,9,18,28,35,41
02,27,2023,7,18,22,32,42,43
02,23,2023,6,9,25,29,31,41
02,20,2023,5,19,20,36,37,42
02,16,2023,3,7,17,31,35,38
02,13,2023,7,12,20,23,32,42
02,9,2023,11,13,14,19,21,43
02,6,2023,17,35,36,39,41,42
02,2,2023,14,15,17,22,24,38
01,30,2023,8,28,31,34,38,39
01,26,2023,5,6,8,24,25,40
01,23,2023,3,20,22,24,30,32
01,19,2023,3,8,9,15,30,31
01,16,2023,9,12,25,34,41,42
01,12,2023,2,6,7,10,19,40
01,9,2023,3,12,14,21,33,41
01,5,2023,11,23,26,32,38,43
01,2,2023,17,20,22,30,34,42
12,29,2022,12,21,27,29,33,42
12,26,2022,2,3,16,30,37,42
12,22,2022,2,5,10,11,23,27
12,19,2022,1,6,14,19,34,35
12,15,2022,1,2,6,14,33,42
12,12,2022,1,2,5,21,37,42
12,8,2022,6,15,23,28,37,42
12,5,2022,4,7,20,22,28,36
12,1,2022,19,27,31,33,35,39
11,28,2022,13,17,20,31,36,37
11,24,2022,6,13,17,23,36,40
11,21,2022,9,16,20,23,35,39
11,17,2022,3,23,27,30,31,35
11,14,2022,1,7,11,20,21,26
11,10,2022,1,5,10,24,34,38
11,7,2022,1,11,12,20,23,32
11,3,2022,1,14,22,23,31,43
10,31,2022,11,19,37,38,42,43
10,27,2022,10,14,22,25,39,40
10,24,2022,8,15,16,28,36,40
10,20,2022,1,9,14,21,24,34
10,17,2022,11,14,17,18,34,40
10,13,2022,4,10,11,15,17,38
10,10,2022,12,13,17,21,26,35
10,6,2022,4,26,29,35,37,39
10,3,2022,2,3,17,30,40,43
09,29,2022,2,7,11,18,37,40
09,26,2022,3,5,7,21,26,37
09,22,2022,4,6,20,27,29,37
09,19,2022,2,4,14,28,30,42
09,15,2022,2,11,16,19,22,24
09,12,2022,9,12,18,19,27,32
09,8,2022,3,5,26,27,29,36
09,5,2022,14,23,28,29,39,40
09,1,2022,3,18,22,31,34,42
08,29,2022,1,8,13,17,18,23
08,25,2022,12,13,15,26,27,40
08,22,2022,4,11,13,30,37,40
08,18,2022,2,3,12,19,30,38
08,15,2022,1,6,13,19,29,39
08,11,2022,23,33,34,35,36,41
08,8,2022,13,19,26,39,40,42
08,4,2022,7,12,17,21,31,43
08,1,2022,5,7,12,13,27,38
07,28,2022,4,10,18,19,29,38
07,25,2022,9,23,24,25,29,32
07,21,2022,10,17,26,33,35,39
07,18,2022,1,9,11,29,38,42
07,14,2022,4,13,14,32,38,41
07,11,2022,4,8,12,37,40,43
07,7,2022,9,21,30,35,38,41
07,4,2022,8,15,16,23,28,37
06,30,2022,2,8,14,21,35,38
06,27,2022,12,18,20,22,23,29
06,23,2022,9,10,20,27,36,40
06,20,2022,9,27,29,35,39,43
06,16,2022,7,10,22,25,31,37
06,13,2022,7,19,26,36,39,40
06,9,2022,11,22,33,35,39,42
06,6,2022,9,22,31,33,34,38
06,2,2022,1,5,17,25,31,39
05,30,2022,16,18,19,24,34,37
05,26,2022,13,18,19,30,37,41
05,23,2022,6,13,28,32,33,36
05,19,2022,9,12,20,26,30,42
05,16,2022,9,12,24,25,35,42
05,12,2022,1,5,25,27,35,37
05,9,2022,6,10,12,22,28,38
05,5,2022,9,20,23,29,31,37
05,2,2022,10,13,15,20,37,42
04,28,2022,3,8,19,20,37,38
04,25,2022,9,18,23,27,35,38
04,21,2022,10,25,27,30,33,37
04,18,2022,17,21,32,33,36,37
04,14,2022,1,3,17,30,37,41
04,11,2022,3,13,26,29,31,42
04,7,2022,3,5,18,30,41,42
04,4,2022,4,12,13,23,24,39
02,31,2022,9,12,20,27,34,38
02,28,2022,5,12,16,19,25,42
02,24,2022,8,22,31,32,38,41
02,21,2022,2,6,12,16,20,30
02,17,2022,3,4,14,33,41,43
02,14,2022,1,11,14,19,32,38
02,10,2022,3,9,24,34,35,43
02,7,2022,2,10,12,13,14,39
02,3,2022,8,11,24,38,41,42
02,28,2022,13,19,21,23,35,37
02,24,2022,8,12,18,23,28,31
02,21,2022,2,9,19,22,23,42
02,17,2022,2,12,14,23,25,30
02,14,2022,6,17,24,25,31,43
02,10,2022,1,4,14,22,24,40
02,7,2022,3,6,10,23,29,32
02,3,2022,10,11,15,17,28,34
01,31,2022,8,10,13,32,36,43
01,27,2022,2,7,22,31,37,38
01,24,2022,14,19,22,24,32,36
01,20,2022,3,8,19,24,27,41
01,17,2022,1,9,10,16,27,43
01,13,2022,2,3,13,21,26,33
01,10,2022,5,11,13,15,25,28
01,6,2022,19,22,29,31,37,40
01,3,2022,12,13,30,31,38,40
12,30,2021,12,15,17,18,33,41
12,27,2021,1,5,11,27,34,36
12,23,2021,15,20,23,28,31,43
12,20,2021,2,20,23,27,31,36
12,16,2021,2,15,16,24,39,40
12,13,2021,3,20,27,29,35,43
12,9,2021,7,13,21,32,33,41
12,6,2021,2,7,8,19,36,40
12,2,2021,9,21,25,29,35,42
11,29,2021,2,6,11,27,28,30
11,25,2021,8,16,18,23,31,43
11,22,2021,1,13,23,24,28,40
11,18,2021,2,10,23,26,30,33
11,15,2021,10,16,18,22,25,36
11,11,2021,1,3,10,12,27,34
11,8,2021,3,7,13,14,35,37
11,4,2021,9,13,22,24,28,41
11,1,2021,8,14,21,26,31,39
10,28,2021,6,13,15,28,30,39
10,25,2021,7,16,26,28,31,40
10,21,2021,10,12,25,34,38,40
10,18,2021,7,13,15,20,33,35
10,14,2021,7,9,14,16,27,28
10,11,2021,8,9,13,15,24,36
10,7,2021,9,15,20,21,34,43
10,4,2021,13,14,18,19,38,40
09,30,2021,3,14,25,27,28,35
09,27,2021,4,7,19,39,40,42
09,23,2021,5,9,15,25,27,35
09,20,2021,5,16,24,34,35,42
09,16,2021,1,14,20,25,31,33
09,13,2021,1,10,15,16,23,33
09,9,2021,12,20,24,27,36,43
09,6,2021,4,5,11,12,14,20
09,2,2021,2,9,14,21,22,34
08,30,2021,1,3,15,18,25,29
08,26,2021,6,8,13,29,39,40
08,23,2021,1,19,22,23,28,33
08,19,2021,4,25,26,33,34,39
08,16,2021,10,20,22,23,28,33
08,12,2021,4,5,21,31,36,40
08,9,2021,4,12,16,20,34,40
08,5,2021,2,11,21,30,32,40
08,2,2021,4,8,17,22,23,27
07,29,2021,12,17,19,21,25,32
07,26,2021,13,14,24,25,33,43
07,22,2021,1,9,13,24,28,39
07,19,2021,14,20,36,37,38,39
07,15,2021,1,13,17,27,37,40
07,12,2021,7,9,24,33,38,40
07,8,2021,5,12,26,32,36,42
07,5,2021,5,6,31,34,35,39
07,1,2021,7,8,30,33,36,40
06,28,2021,12,13,22,28,33,40
06,24,2021,3,8,20,21,29,42
06,21,2021,13,17,24,32,33,40
06,17,2021,10,26,28,29,37,38
06,14,2021,2,9,15,17,24,39
06,10,2021,13,18,24,31,34,41
06,7,2021,1,6,13,24,25,32
06,3,2021,12,23,24,27,39,40
05,31,2021,8,18,28,35,42,43
05,27,2021,6,10,21,24,35,40
05,24,2021,8,10,29,33,37,42
05,20,2021,4,10,15,20,36,39
05,17,2021,1,4,11,14,24,42
05,13,2021,3,10,14,28,33,36
05,10,2021,1,3,11,13,19,37
05,6,2021,3,13,15,18,25,39
05,3,2021,11,17,18,21,31,34
04,29,2021,3,14,23,31,35,39
04,26,2021,8,15,29,38,40,42
04,22,2021,16,19,20,21,24,27
04,19,2021,6,19,28,37,40,43
04,15,2021,2,16,17,41,42,43
04,12,2021,20,21,24,26,33,34
04,8,2021,11,20,23,28,36,38
04,5,2021,6,7,9,13,30,41
04,1,2021,3,6,15,22,26,28
02,29,2021,1,11,12,13,32,36
02,25,2021,16,17,24,34,35,43
02,22,2021,1,10,18,29,32,41
02,18,2021,12,17,19,20,42,43
02,15,2021,6,7,13,20,31,40
02,11,2021,10,26,28,29,32,40
02,8,2021,25,29,34,35,40,43
02,4,2021,3,9,13,19,27,28
02,1,2021,12,16,28,37,41,43
02,25,2021,5,16,24,32,34,42
02,22,2021,1,9,10,17,35,39
02,18,2021,2,7,14,21,30,37
02,15,2021,10,19,23,24,34,35
02,11,2021,1,7,18,33,34,37
02,8,2021,3,19,25,26,27,35
02,4,2021,1,3,14,20,25,39
02,1,2021,1,12,15,16,19,40
01,28,2021,1,7,13,23,39,43
01,25,2021,2,4,24,25,34,36
01,21,2021,4,23,29,31,37,43
01,18,2021,4,24,34,39,41,42
01,14,2021,4,7,10,25,30,31
01,11,2021,2,5,17,24,27,31
01,7,2021,3,5,9,18,22,37
01,4,2021,11,17,20,31,35,36
12,31,2020,1,5,6,8,30,35
12,28,2020,6,15,25,29,36,42
12,24,2020,10,13,14,19,21,41
12,21,2020,3,5,8,25,31,42
12,17,2020,2,9,10,18,32,35
12,14,2020,8,12,14,19,21,43
12,10,2020,14,17,21,31,33,41
12,7,2020,26,28,29,34,36,43
12,3,2020,5,8,12,17,34,42
11,30,2020,8,16,24,30,31,33
11,26,2020,1,9,13,19,20,32
11,23,2020,7,14,35,36,39,41
11,19,2020,12,14,20,21,28,31
11,16,2020,2,10,14,24,38,43
11,12,2020,16,17,22,31,33,43
11,9,2020,9,11,20,27,32,38
11,5,2020,1,2,14,31,34,36
11,2,2020,8,14,26,27,32,37
10,29,2020,2,25,29,33,37,40
10,26,2020,4,9,12,31,35,37
10,22,2020,4,6,13,15,32,34
10,19,2020,1,16,23,35,39,42
10,15,2020,6,7,12,13,29,31
10,12,2020,10,17,20,32,33,35
10,8,2020,15,17,31,34,35,37
10,5,2020,5,14,19,27,36,37
10,1,2020,2,5,10,19,21,36
09,28,2020,5,15,23,28,32,42
09,24,2020,1,3,13,17,34,36
09,21,2020,4,6,21,28,30,32
09,17,2020,4,15,19,25,32,39
09,14,2020,7,10,20,22,28,33
09,10,2020,4,7,21,28,37,41
09,7,2020,7,21,25,28,31,40
09,3,2020,11,12,24,27,40,42
08,31,2020,1,15,21,29,34,41
08,27,2020,3,8,11,35,36,41
08,24,2020,2,8,18,19,23,32
08,20,2020,1,3,4,24,33,40
08,17,2020,1,5,9,18,21,22
08,13,2020,2,6,24,26,27,33
08,10,2020,6,12,16,20,38,41
08,6,2020,2,6,8,21,25,33
08,3,2020,14,19,21,34,36,42
07,30,2020,6,13,14,21,31,33
07,27,2020,11,16,27,30,34,37
07,23,2020,12,17,21,29,34,43
07,20,2020,8,18,20,23,31,32
07,16,2020,2,21,23,28,40,41
07,13,2020,6,8,29,37,39,42
07,9,2020,1,2,12,16,21,34
07,6,2020,7,12,16,21,38,43
07,2,2020,5,16,22,39,40,41
06,29,2020,1,2,3,12,32,40
06,25,2020,8,10,16,28,37,40
06,22,2020,5,10,11,22,23,30
06,18,2020,4,27,28,31,32,36
06,15,2020,1,7,25,35,41,43
06,11,2020,3,5,22,29,36,43
06,8,2020,1,9,19,25,26,40
06,4,2020,3,19,23,24,32,34
06,1,2020,6,11,14,36,38,39
05,28,2020,2,3,9,17,30,41
05,25,2020,4,15,30,31,32,38
05,21,2020,1,5,11,13,33,36
05,18,2020,8,18,19,20,27,33
05,14,2020,5,15,21,26,31,38
05,11,2020,2,26,38,39,40,42
05,7,2020,3,11,15,18,34,37
05,4,2020,1,17,27,32,33,38
04,30,2020,21,24,35,39,40,43
04,27,2020,4,8,9,12,15,36
04,23,2020,1,9,14,21,30,37
04,20,2020,9,14,32,34,35,37
04,16,2020,3,13,16,24,29,34
04,13,2020,4,5,10,12,15,27
04,9,2020,7,15,29,34,36,41
04,6,2020,6,14,15,18,25,30
04,2,2020,2,4,14,18,22,28
02,30,2020,1,11,28,29,30,36
02,26,2020,3,6,15,19,26,41
02,23,2020,2,4,17,21,24,35
02,19,2020,6,25,27,29,30,43
02,16,2020,4,22,23,33,35,43
02,12,2020,16,19,23,32,35,36
02,9,2020,1,2,3,14,25,31
02,5,2020,1,3,17,28,35,43
02,2,2020,6,7,31,37,40,41
02,27,2020,13,22,25,32,35,37
02,24,2020,12,13,19,20,25,30
02,20,2020,12,18,19,27,31,38
02,17,2020,1,2,15,18,30,39
02,13,2020,4,19,34,35,36,39
02,10,2020,9,13,22,23,33,43
02,6,2020,3,9,19,21,26,27
02,3,2020,3,31,33,37,41,42
01,30,2020,1,3,20,30,34,42
01,27,2020,11,14,15,25,33,38
01,23,2020,7,15,24,30,35,42
01,20,2020,1,9,16,23,35,43
01,16,2020,2,3,8,30,38,42
01,13,2020,9,10,14,21,28,33
01,9,2020,1,4,8,10,22,26
01,6,2020,5,15,17,25,32,39
01,2,2020,4,22,24,25,29,37
